Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
5/29/2016 9:49 AM,5500 S Greenwood,Hispanic,Female,Traffic Sign/Signal,Failed to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
5/29/2016 4:15 PM,5700 S Harper,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/29/2016 9:11 PM,5800 S University,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/29/2016 9:44 PM,5300 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/30/2016 9:08 PM,5700 Woodlawn,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/31/2016 9:03 PM,1200 E 59th,African American,Male,Lane Violation,Wrong way on one way street,Two citations issued for driving wrong way on one way street and no insurance,Citation Issued,No
6/2/2016 8:49 AM,49th and Kimbark,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Citation issued for failure to yield,Citation Issued,No
6/3/2016 11:30 AM,5500 S Cornell,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/3/2016 7:22 PM,5300 Dorchester,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/3/2016 11:18 PM,1755 E 55th,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/4/2016 10:30 PM,6100 Stony Island,Hispanic,Male,Equipment,Improper lighting,N/A,Verbal Warning,No
6/5/2016 9:37 PM,5700 University,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/6/2016 12:21 AM,5400 Kenwood,African American,Female,Lane Violation,Wrong way on one way street,Two citations issued for wrong way on one way street and suspended license,Citation Issued,No
6/6/2016 4:48 PM,5700 S University,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/6/2016 7:45 PM,Midway Plaisance and Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
6/7/2016 10:21 AM,4926 S CORNELL,Asian,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
6/7/2016 10:42 AM,4936 S BLACKSTONE,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
6/7/2016 7:03 PM,5700 S COTTAGE GROVE,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
6/9/2016 9:54 PM,5326 Hyde Park Blvd,African American,Male,Lane Violation,Illegal U-Turn,N/A,Verbal Warning,No
